scientific_women,context,question,answer,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Dónde nació?,nacida Herbert,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿De dónde es?,nacida Herbert,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿En qué lugar nació?,nacida Herbert,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuándo nació?,15 de agosto de 1901,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuándo cumple años?,16 de agosto de 1901,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuál es su fecha de nacimiento?,17 de agosto de 1901,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuándo murió?,31 de enero de 1980,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuándo falleció?,32 de enero de 1980,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Quién fue?,fue una aristócrata inglesa,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Quién era?,fue una aristócrata inglesa,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿De quién fue hija?,"hija de George Herbert, 5.º Conde de Carnarvon",
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Quién era su padre?,"hija de George Herbert, 5.º Conde de Carnarvon",
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Qué hizo en En noviembre de 1922?,"fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón",
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Cuál fue su aporte?,"fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón",
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Qué hizo por la ciencia?,"fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón",
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Con quién se casó?,se casó con Sir Brograve Beauchamp,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Quién fue su esposo?,se casó con Sir Brograve Beauchamp,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿Quién fue su hija?,Lady Evelyn,
Evelyn Beauchamp,"Lady Evelyn Leonora Almina Beauchamp (nacida Herbert; 15 de agosto de 1901 - 31 de enero de 1980) fue una aristócrata inglesa, hija de George Herbert, 5.º Conde de Carnarvon. En noviembre de 1922, junto a su padre y el arqueólogo Howard Carter, fue una de las primeras personas, en tiempos modernos, en entrar tanto a la tumba como a la cámara funeraria del faraón egipcio Tutankamón. Más tarde se casó con Sir Brograve Beauchamp, con quien tuvo una hija. Lady Evelyn murió en 1980, a la edad de 79 años.",¿A qué edad murió?,a la edad de 79 años,
